id,name,meal_type
63793,tide me over   indian chaat  simple veggie salad,other
61973,to your health  muffins,breakfast
45859,truth serum  margaritas,drink
58651,turtle  squares,dessert
59534,twisted american chop suey,dinner
24137,voodoo   calamari ink  pasta,dinner
40237,wacky cake,dessert
18537,wait forever  pork chops,dinner
104243,we thought it was a layer cake sandwich,other
105069,zupa ze swiezych grzybow  polish mushroom soup,other
70099,1 asian noodle salad,other
333281,1 brownies in the world    best ever,dessert
234069,1 easiest dr  pepper ham glaze ever,other
37841,1 favorite chinese steamed whole fish by sy,dinner
144952,1 french onion soup,other
453467,1 in canada chocolate chip cookies,dessert
31835,1 squash dressing,other
197013,10 can spaghetti sauce   oamc,other
306168,412 broccoli casserole,other
286009,millionaire pound cake,dessert
24514,1 000 artichoke hearts,other
42508,1 00 tangy chicken recipe,dinner
116679,100 broccoli casserole,other
124286,100 chocolate cake,dessert
190,20 000 prize winning chili con carne,dinner
475785,2000 meatloaf,dinner
17265,25 pumpkin pie,dessert
50662,25 000 casserole,dinner
177187,250 chocolate chip cookies recipe,dessert
118843,250 00 chocolate chip cookies,dessert
208179,300 icing,other
500166,5 tacos,dinner
501028,50 chili   for the crockpot,dinner
136602,500 margarita bread,other
69190,ara s potato  oup,other
503475,blepandekager   danish   apple pancakes,breakfast
522861,lplermagrone,dinner
457136,lplermagrone  herdsman s macaroni,dinner
455351,lplermagronen,dinner
333797,rter med flsk   pea soup with pork,dinner
428056,rtsoppa  swedish yellow pea soup,dinner
306245,pinards en branche  sauted spinach,other
523359,der wiener schnitzel style chili dog sauce,other
495314,go to bbq sauce for ribs,other
149593,add in anything  muffins,breakfast
227924,almost   dairy queen blizzard ice cream cake,dessert
100540,almost grilled  cheese sandwich,other
155959,ant  kelly s london broil marinade,other
29214,anything goes  low fat mushroom sauce,other
92533,atkins friendly  cheesecake,dessert
209203,bake in  oozy bread,other
42151,bar  cheese,other
327356,bbq spray recipe    it really works,other
325509,berry french toast  oatmeal,breakfast
236184,berry good  french toast bake,breakfast
241445,better than a baked potato  soup,other
149887,better than cinnabon  cinnamon rolls,dessert
112984,better than spaghetti  squash bake,dinner
200148,better than tofu  cheesecake,dessert
445026,big easy   gumbo,dinner
70611,big mac  meatloaf,dinner
273326,buckley s  cajun salmon pasta,dinner
310570,burek  or feta cheese  phyllo pie,other
318677,california roll   salad,other
80050,can t fail  holiday fruitcake,dessert
269984,cancer curing matzah ball soup,other
317508,cheeeezy  potatoes,other
53872,cheeseburger  meatloaf for lactose intolerant cheese,dinner
268942,cheesy  tuna casserole,dinner
176110,chef salad  dressing,other
205331,chic  greek salad,other
165856,chicken fried   fish fingers,other
474769,coal miners  gnocchi,dinner
138005,country fried   pig fingers,other
216945,crab  noodle bowl,dinner
164526,cream   of pumpkin or squash soup  vegan,other
50184,cream  of mushroom soup,other
316470,creamsicle  smoothie,drink
343338,creamy   vegan potato leek soup,other
137434,creamy  chicken curry,dinner
95534,da best  chicago style italian beef,dinner
30473,denauseating  with ginger tea,drink
24470,dipstir  crock pot dip,other
311991,don t bother with the canned stuff    sloppy joes,dinner
225707,dressed up  salad with secret dressing,other
242830,drunken  pork chops,dinner
336744,egg  cellent noodles,other
83542,even i like these  bran muffins,breakfast
91626,evil  chicken,dinner
303457,exotic fruits  barbecue marinade,other
176717,fake   blueberry cheesecake,dessert
39226,fire  sauce,other
216030,flaky  oatmeal raisin cookies,dessert
268169,flipped  roast turkey,dinner
98357,free toe  pie,other
150365,fried  cauliflower,other
243251,from the field  green beans  fresh herbs and walnuts,other
20186,geebee special  sandwiches,other
109818,german  barbecued carrots,other
243785,glazed  meatloaf,dinner
207525,go bears   party ryes,other
226246,golden circle     pineapple upside down cake,dessert
353044,greens to go  smoothie,drink
263781,hawaiian  chicken salad appetizer,other
66932,healthy  fried rice,dinner
48131,healthy  pumpkin pie,dessert
32363,homebakes   knock off beef stew and biscuits,dinner
293225,honey  i m peanuts about you   cake,dessert
235173,hot tamale  burgers,dinner
226001,i can t believe i made cream puffs,dessert
220186,i hate miracle whip  but i love this potato salad that s,other
217201,i thought i had nothing to eat  rice,other
194665,impossible  bisquick spinach feta pie,dinner
269909,it smells like christmas  pumpkin bread,other
259693,it s too easy  pork chops   rice casserole,dinner
161370,jamaican me hungry  chicken bake,dinner
152261,jamba juice at home   lime it up  smoothie,drink
152259,jamba juice at home  strawberries wild  smoothie,drink
303460,jeera on cubes  barbecue marinade,other
270259,joe s  peppermint cookies n cream brownies,dessert
345123,just trust me  bistro chicken salad,other
125195,kelly s creamy cheddar pea salad,other
141939,kicked up  oven fried chicken,dinner
171442,kicked up  oven baked pork baby back ribs,dinner
212188,kitchen sink  soup,dinner
262208,korney  spinach dip stuffing  side dish,other
207857,laings   english pickled onions  copycat,other
221049,leftover  lo mein for two,dinner
221116,leftovers  dessert,dessert
130819,lemon coconut custard  pie,dessert
20223,lite  cretons,other
190108,little bear s  seafood soup,dinner
158372,loaded   deviled eggs,other
219681,lupo s   chicken spiedies,dinner
261215,ma s  oatmeal cake and icing,dessert
179640,man  rice krispies treats,dessert
250883,margarita  dip for fresh  or grilled fruit,other
140855,meal in a bowl   guacamole salad,dinner
120297,middle eastern   twice baked potatoes,other
130492,more lish ous  cornbread,other
164634,nat s king cole  coleslaw,other
293836,near east  rice pilaf  low fat,other
169586,no copycats here   homemade chicken tortilla soup,dinner
261296,no harm eggplant parm  ww,dinner
101115,no name   beef recipe   loco moco,dinner
271594,not your average  ham   bean soup,dinner
164291,not your every day chicken salad  chicken salad,other
251528,not  lasagna,dinner
250833,old ladies on a bus    chicken,dinner
343448,outback   steak rub,other
39893,party  taco dip,other
147477,pass me another   hot clam dip,other
223349,pasta  with shrimp   eggplant,dinner
86768,perfect  chocolate frosting,other
197001,pink stuff     cherry pie filling  pineapple dessert,dessert
60938,pizza pan  potato skins,other
228491,pizza  steak,dinner
451515,posh   pork roast   crockpot,dinner
353171,puddingkuchen   custard bake,dessert
354039,quick and healthy picker uppers apple treats,other
302399,quick biscuit bread,other
195736,quick buns,other
365946,real new york style  cheesecake supreme,dessert
221544,red river shoot out   pigskins,other
175306,red robin  drink recipe  mai tai,drink
211833,roast pork   and apple dinner,dinner
276567,russian  dressing  ww,other
232044,sangria  fruit cups  non alcoholic,dessert
244840,sausage  and gravy  low fat,other
342620,secret ingredient  bbq meatloaf,dinner
165270,secret ingredient  beef  stew,dinner
9999,seva   bean   vegetable stew,dinner
423875,sexy greek   cocktail,drink
275675,she crab  cream of crab soup,other
356803,skinny  meatloaf,dinner
296983,skordy  new potatoes w rosemary lemon   olive oi,other
111462,slightly spicy  black bean burgers,dinner
242831,sloughed  tortellini salad,other
151143,south beach  stuffed bell peppers,dinner
185799,splenda   d  cheesecake sugar free low carb,dessert
166089,sticky chicky   dump chicken,dinner
310082,stove top   stuffing,other
70005,sun dried   tomatoes,other
129581,tastes like mounds bar    kahlua cake,dessert
116741,tastes like   v 8 juice,drink
143750,the bomb  pumpkin soup,other
257409,the mooch     zucchini sandwich,other
154426,the u of l game day dip,other
255916,the works  crock pot chili,dinner
325714,the  carrot cake,dessert
163238,the  creamed dried beef chipped beef recipe,other
274988,thicker than pea soup  pea soup,other
347252,this old house    dressing,other
47037,trini  burgers,dinner
130815,we hate zucchini bread   zucchini bread,other
251021,white  sangria,drink
25538,wild game   moose sloppy joes,dinner
276594,windy s  sweet and sour meatballs,dinner
54837,world s best    and easiest   teriyaki chicken wings,other
32378,you bring the macaroni salad   macaroni salad,other
259784,you can t eat just one  ice box cookies,dessert
16391,yummy n  easiest  warm blueberry sauce,other
196264,zucchini mix  in tomato sauce,other
251032,like money for nuthin    fudge,dessert
429524,007  martini,drink
146,21  apple pie,dessert
315537,5 things  hot mexican green chile dip,other
487173,5 minute bread  pizza,other
341118,99 bananas  foster oatmeal,breakfast
77206,almost  boston market creamed spinach,other
157487,almost  outback steakhouse shrimp sauce,other
289671,almost  starbucks frappuccino,drink
356884,amerikaner   german vanilla biscuit,dessert
168590,amigos  crisp chicken burritos,dinner
44050,amish  cake frosting   icing,other
166328,any type  nut butter,other
242,any  muffins,breakfast
124853,apple pie,dessert
160077,aunt johnnie s   pound cake,dessert
161843,aww   shucks  crescent dough dessert,dessert
447429,bacon cheeseburger and fries  soup,dinner
202009,bailey s hot fudge sauce,other
372665,baked  apple cinnamon oatmeal,breakfast
55681,basic  beet borscht,other
230240,bbq  pork,dinner
137701,beat the blues  blue cheese risotto,dinner
467795,beefy  seitan log,other
289133,berinzila   eggplant and ham,dinner
28951,berry good  smoothie,drink
513531,better than a can  homemade sloppy joes,dinner
511799,better than bouillon  gravy,other
292568,better  cake mix,other
435497,better than crack  brownies,dessert
392158,biggest loser  fish tacos,dinner
167554,blond  minestrone,dinner
505132,boo tiful  jell o cups,dessert
399278,buffalo wild wings  medium wing sauce copycat by todd,other
535020,buffalo wing  mushrooms,other
165110,buffalo  stuffed eggs,other
27200,call the fire department  hot wings,other
262576,caramel  apples,dessert
357497,chmeur s  pudding,dessert
201697,cheese  sauce  dairy free,other
363009,cheeseburger  cookies and  fries,dessert
113150,cheeseburger stuffed  french bread,dinner
81635,cheesecake factory  crab cakes,other
279052,cheesy  vegan lasagna,dinner
240622,chic to be greek  salad   from salad creations,other
142984,chinese  popcorn,other
299989,chipotle  style chicken burrito bowls,dinner
165385,cloud nine,drink
285606,comfort able kamikaze,drink
204270,company  green beans,other
117116,company s coming  rice,other
138275,country style  onion soup,other
168644,crabby  bread,other
20085,crabby  cracker spread,other
243157,crack  lasagna,dinner
160170,crazy easy   lo mein,dinner
441744,cream of whatever  soup,other
271113,cream  of chicken soup,other
16327,creamed  spinach,other
182122,creamy  broccoli soup,other
369169,creamy  fiddlehead soup,other
331715,creamy  mushroom soup,other
249050,death by chocolate  copycat dark chocolate sauce,other
151746,diamond  creme brulee,dessert
297594,dirty  broccoli,other
63346,don t knock it until you try it  beet cake,dessert
519068,dorito  popcorn seasoning,other
263831,dressed up  greek style  salad,other
419921,duffins   donut muffins,breakfast
368320,elephant ear  dutch baby,breakfast
392150,elmer s  summertime sweet onion salsa,other
342619,emerald ecstasy  green smoothie,drink
408907,extraordinary  macaroni and cheese,dinner
371961,fabulous  brownies,dessert
188151,fall ing for spice cake,dessert
383120,famous  garlic noodles,other
248125,faux  sourdough,other
128715,first  skillet cornbread,other
495344,fish herb crust,other
300339,foodies  succotash,other
460846,fooled me  flourless peanut butter cookies,dessert
367987,fraicheur  vinaigrette,other
280918,fried  bacon in the oven,other
243409,fried  pork chops and gravy,dinner
243249,from the field  balsamic vinaigrette,other
173113,fronch  toast,breakfast
463219,full cool  macaroni and cheese,dinner
360086,funny bones  cake,dessert
457965,gilded  zucchini,other
72449,gimme a cheap weeknight dinner  quick,dinner
193430,gobble up   turkey cottage pie,dinner
39172,good morning   muffins,breakfast
303070,goulash    heart healthy version,dinner
216068,goulashy  beef stew for the slow cooker,dinner
384510,granny squash   creamed squash,other
367865,green eggs  kid friendly   high in iron,breakfast
391390,green  soup,other
141937,grey cup  sourdough,other
53197,grilled   salmon,dinner
400273,guilt free ice cream wannabe,dessert
535431,ham  solo savory cake,other
480776,hamburger  buns  zero carb,other
305431,harak mas curry  sri lankan beef curry,dinner
443640,he proposed   red velvet cake,dessert
406331,healthified  decadent hot chocolate,drink
441118,healthy  5 minute mug cake,dessert
142369,hershey s special dark  chocolate chip cookies,dessert
145858,hershey s triple layer cheesecake,dessert
173730,hey nic  add the chicken   leek and potato soup,other
170199,hibachi  style salad dressing,other
239866,hindu  spaghetti casserole,dinner
46189,homemade  hamburger helper,dinner
314384,human  puppy chow,other
136231,i am tired of living   cocktail,drink
174536,i can t believe it is butter  margarine spread,other
341816,i coulda had a stuffed pepper  stuffed peppers,dinner
59515,i don t believe it s      lemon tofu cheesecake,dessert
320708,i don t have any tahini  hummus,other
211091,i fooled the carnivores   vegan barbecue,dinner
286851,i ve only got a quarter meal,other
248212,if you like pina coladas  protein smoothie,drink
280644,in the pink  lemonade,drink
176883,indian  macaroni and cheese,dinner
298908,it still feels like winter  vegan oatmeal muffins,breakfast
102035,it s a keeper   fish stick casserole,dinner
430445,it s greek to me  baked feta chicken,dinner
239871,it s not a secret  brisket,dinner
328250,it s that easy  graham cracker delight,dessert
146686,italian ized  pork chops,dinner
138477,janie marzetti,dinner
287778,jiffy  deluxe pizza sticks,other
204122,johnny depp in a bundt pan   a k a black russian cake,dessert
437637,just peachy  cobbler,dessert
123115,kelly s chinese cabbage salad,other
152844,kicked up  baked corn pudding casserole,other
132195,kicked up  macaroni and cheese,other
248962,kitchen sink  chocolate chunk cookies,dessert
384264,lamb chops sensory explosion,dinner
199545,leave me for you  chili,dinner
422291,leftover roast  mexican casserole,dinner
427531,light  chocolate chip oatmeal cookies,dessert
389642,lighter  chocolate peanut butter pie,dessert
287235,lighter  pistachio pudding salad,other
110085,lite  tortillas,other
371549,little kick  jalapeno burgers,dinner
444320,loco moco  style hamburger steak with gravy,dinner
284465,lofthouse  sugar cookies,dessert
376813,magic  chicken noodle soup,other
51506,magic  coleslaw,other
134015,magic  cookie bars,dessert
202195,mama mia  triple cheese mostaccioli bake,dinner
407516,mamma mia  ravioli bites,other
92113,mandarin  chicken,dinner
354047,marco    polenta,other
230565,margarita  dip,other
134085,mcgriddle  pancakes breakfast sandwich,breakfast
38811,meat   potatoes  meatloaf,dinner
185520,meat ralf  makeover,other
390230,melanie s  chicken chili,dinner
401605,missy s  sweet potato casserole,other
356849,mohnstrietzel   german poppy seed cake,dessert
393988,mom s amazing banana bread,dessert
360444,mom s chicken,dinner
192390,moose milk,drink
446452,mostly  clean eating granola bars,other
454621,muffalata  sandwich by any name tastes great,other
440388,nachos  casserole,dinner
246224,naked  grilled salmon,dinner
484992,navajo style  peach crisp  vegan friendly,dessert
276865,need a pick me up  banana peanut butter smoothie  no,drink
172744,new  mashed potatoes,other
147212,next to sex  dessert,dessert
214193,no egg  tomato soup cake,dessert
361927,no fettuccine  spaghetti alfredo,dinner
450466,no fuss  easy baked artichokes,other
439143,no more fears  paella,dinner
298874,no sausage     gravy for biscuits and gravy,other
140196,no time flat  nuked nachos with salsa and cheese,other
196006,not too sweet  sweet potatoes,other
409229,not your average spuds,other
174469,off the boat  sicilian pasta sauce,other
296051,oh boy  waffles,breakfast
256763,oh i love this   cheesecake,dessert
306590,old bay  grilled steak fries,other
52289,old reliable  french bread  for kitchen aid mixers,other
433071,olive garden  salad and dressing recipe,other
218648,one of  cookies  no bake  4 ingredients,dessert
146447,one pot   dinner,dinner
256734,oopah    feta chicken breasts,dinner
212028,oops  there it is   chocolate cake low fat,dessert
408303,orange  soup,other
25512,p anana confetti circles,other
363904,pancakes  in a bowl,breakfast
481157,pantry raid  chicken enchilada casserole,dinner
18719,payday  candy bar squares,dessert
335539,peanut butter   jam sandwich   muffins,breakfast
303944,peas  fit for a king or queen,other
443720,perfect chocolate cake  mccall s cooking school,dessert
407098,philly  guacamole dip,other
285568,philly  roll sushi,other
432027,pink stuff,other
207743,pita the great    tuna salad,other
299968,pizza  beans,dinner
464946,please make those meatballs    crockpot meatballs,dinner
130642,puerto rican style  fried rice,dinner
395202,pumpkin pie  filling for mexico,dessert
335495,radler mass   german beer cooler,drink
192542,rainbow chicken strips,other
315110,rathu isso curry  sri lankan red prawn curry,dinner
368878,real  strawberry pie with french cream topping,dessert
147563,reasonable  lemon chicken and potatoes,dinner
207466,ritz  y chicken,dinner
193719,royal  turkey stuffing,other
251976,s wonderful carrot and raisin salad,other
334501,sannich  in soup,other
123117,sara lee   pound cake   copycat,dessert
38852,second only to my meatloaf  meatballs,other
181808,sexy  sauce,other
291073,sherried  mushroom sauce,other
186143,sin free  fries,other
250232,skinny  fries,other
411859,smells like stuffing  no knead bread,other
382731,sneaky  chocolate zucchini cupcakes kids love,dessert
134787,so i cheated  refrigerator dills,other
154576,soft as wonder   white bread,other
222030,soft serve  vanilla ice cream,dessert
52565,somebody stole my cookie  cookies,dessert
103393,soup  er no peel potatoes,other
358626,souped up  veggie dip,other
53152,souper  easy macaroni and cheese,dinner
211322,special  oatmeal cookies   vegan,dessert
251714,special  salsa     for parties,other
343821,starbucks  oat fudge bars,dessert
168420,steel magnolias cuppa cake,dessert
402351,string pie,other
319381,struttin  sauce  for kansas city sloppy ribs,other
489707,stuffed cabbage  soup,dinner
389301,subway  white chocolate macadamia nut cookies,dessert
29916,sweet dreams  shake,drink
36482,sweet  carrots,other
98844,swiss  round steak with onion gravy,dinner
65207,taffy apple  cakies,dessert
496766,take me to spain  tortilla espanola  5fix,dinner
140746,the best   beef stroganoff,dinner
302344,the cake of wisdom,dessert
56036,the cake,dessert
74284,the frugal gourmet s  southern barbecue sauce,other
361017,the gumbo pages  traditional red beans and rice,dinner
437219,the heat  spicy party mix,other
467076,the heavy one  cheesecake,dessert
327141,the other white meat  chicken salad sandwich,other
342698,the ultimate brownie,dessert
304814,the  marinade,other
387488,thetis queen  albacore tuna tacones with spicy spot p,dinner
81280,those  chocolate cookies,dessert
261482,three sisters  stew,dinner
77380,three cheese  cheese ball,other
240369,tofu noodle  tuna casserole,dinner
340730,tomato  sauce,other
334951,trash bag  taco salad,other
305987,tummy crisis  dried apricot and muesli muffins,breakfast
337893,turn the oven off  cookies,dessert
157160,tuxedo  chocolate covered strawberries,dessert
35632,twist your own way  mayonnaise  this one is with garlic twist,other
141712,twisted  chicken salad,other
21357,u  wing it pork loin chops,dinner
205443,vegan mac un cheese,dinner
201813,vodka still works,drink
198343,we re going bananas  bread,breakfast
279176,weight watchers   ice cream  sandwiches del,dessert
532472,west african s finest  mafe,dinner
32204,whatever floats your boat  brownies,dessert
378540,whitt s  bbq sauce,other
293049,wicked  chocolate chip muffins,breakfast
104773,wish i made more  yeast potato lem orange rolls,other
129919,wolf creek inn  macaroni   cheese,other
391335,wolfpack  pork sandwich,dinner
383339,world s best  macaroni   cheese,other
96727,you like cheese   garlic bread spread,other
474258,you want me to do what to the buttered noodles,other
209322,you won t believe they are baked  chicken fingers,dinner
60454,you ll never miss the noodles  lasagna,dinner
240447,ber quick banoffee pudding   dessert,dessert
375376,miracle  honey oatmeal bread  gluten free,other
160398,tis an irish lamb stew,dinner
350400,utah   scones  deep fried,other
280251,57 chevy,drink
242761,57 chevy  alcoholic drink,drink
11878,90s style meatloaf,dinner
385823,akwa   traditional yemeni oxtail stew,dinner
22711,all purpose  marinade  especially nice used with beef,other
98821,better than sex  cheese ball,dessert
152534,big mac  pizza,dinner
423516,chicken  and lime soup  vegan,dinner
418756,chicken  tikka masala   vegan style,dinner
481195,chinese buffet  green beans,other
53312,clean out the fridge  soup,dinner
51922,cream  of mushroom soup,other
11363,denny s  vegetable beef barley soup,other
63131,get up   go  bars,breakfast
108819,good for you  berry truffles,dessert
344420,guacamole  dip,other
292317,ibarra  hot chocolate lovers,drink
79313,killer  shrimp,dinner
282644,kinda sorta  hungarian goulash,dinner
19953,lighter  hamburger stroganoff,dinner
97808,lil  john s oven deep pit,dinner
16451,lite  stuffed mushrooms,other
84610,mazing mushrooms,other
116449,my thai  chicken soup,dinner
24760,neezy peazy lunch,other
261888,nilla wafer martini,drink
133328,ohana breakfast bread,breakfast
196614,ohana cheesy scalloped potatoes  walt disney world,other
238453,old style  pancakes,breakfast
23078,panettone festive cake,dessert
67142,po  wo man s cobbler,dessert
484624,pretty freaking awesome  pulled pork  crock pot,dinner
97968,sesame  noodles with peanut sauce,dinner
87640,shrooms and sausage dressing,other
413910,sin amon brown sugar oatmeal,breakfast
154187,so simple  cauliflower mash,other
327979,spring in your step  smoothie  raw food,drink
196319,sweet  broccoli salad,other
184785,taco  hot dogs,dinner
15255,things go better with coke  brisket,dinner
344648,tis the season coconut macaroons,dessert
438092,tomokra   stewed tomatoes and okra,other
265262,winter  marinara,other
247277,leftover   turkey biryani with red onion and cilantro,dinner
190891,terribly impressive   chorizo puffs,other
449891,add adjective here  apple crisp,dessert
163005,almost  grandma alta s meatballs  aka my favorite meatball,dinner
473002,almost  my grandma s rouladen   melissa d arabian,dinner
32088,almost  no fat chocolate cake,dessert
286681,awesome   our family cranberry salad,other
361328,balalit  saweeya or seviyan  sweet vermicelli breakfast,breakfast
376660,best ever  thai chicken curry,dinner
285666,bread machine  2 lb  traditional white bread,other
159527,chive  goat cheese mashed potatoes,other
220237,chocolate  cherry pecan biscotti,dessert
375362,copycat  chi chi s cornbread,other
75408,copycat  kentucky fried chicken marinade,other
196548,copycat  la madeline s tomato basil soup,other
399709,crock pot  chicken chili,dinner
217296,different   irish soda bread,other
55809,don t eat the  yellow snowman cookies,dessert
198660,fake  crab stroganoff,dinner
121107,fooled ya   spaghetti sauce,other
98478,frozen  chicken in the crock pot,dinner
420409,herman starter  sweet rolls,dessert
393667,hot chocolate  cocoa blocks,drink
106902,i wanna live with a  cinnamon  girl  honey,other
435816,iowa state fair  sweet dough caramel cinnamon rolls,dessert
134086,jello  chocolate pudding pops,dessert
246617,leftover  chicken  spinach and yellow pepper rice,dinner
221942,leftover  rice pudding,dessert
21816,lighter  lamb moussaka,dinner
198073,make ahead  flaky sausage foldovers,other
169105,modified  banana bread by paula deen,other
258868,my favourite  green tomato pickles,other
15063,my own lazy day recipe   chicken noodle soup,dinner
202949,my way of   steamed cabbage,other
454944,never fail  fish   chips,dinner
497150,new  vanishing oatmeal raisin cookies,dessert
202840,no bake  lemon angel pie,dessert
392350,not  fried zucchini,other
184214,not  meatballs,other
99065,oven  chicken kiev,dinner
325657,paki  garam masala,other
49737,panera bread  black bean soup,dinner
15202,potatoes with garlic and cheese  pommes de terre a l ail,other
15211,potatoes  pommes anna,other
15209,potatoes  pommes lyonnaise,other
187601,raw  angel hair zucchini  pasta  with fresh pesto,dinner
37796,relatively  healthy cinnamon buns,dessert
218687,relatively  healthy oatmeal scones,breakfast
127048,rhubarb  victoria sauce,other
26420,shrimp  cocktail sauce,other
142215,spanish  corn,other
426696,spicy  pasta fagioli,dinner
157808,super healthy  chewy granola bars,other
229979,surprise   russian tea cakes,dessert
128830,t w a   spaghetti sauce,other
128840,t w a  meatballs for spaghetti,dinner
436082,the best  vegetarian vegan vegetable samosas,other
407659,un refried beans,other
87289,un stuffed pork chops with mushroom sauce,dinner
432965,very  simple fried rice,other
266021,real   spanish rice,other
215290,rita s lasagna,dinner
147286,chewy english flapjack,breakfast
407471,guaranteed 5 star banana cake,dessert
367828,copycat   costa vida green rice,other
367823,copycat   costa vida ranch salad dressing,other
349331,hot kielbasa dip,other
429248,minestrone salad,other
483908,real   somali tea,drink
154007,creamy chicken pot pie     pies   pot pies  easy   yummy,dinner
187210,another  cajun seasoning,other
218967,baked mozzarella sticks,other
140610,heavenly  fiber muffins,breakfast
79736,holiday punch   cheers,drink
230686,low calorie  lemon chiffon pie,dessert
470837,no cook summer pasta,dinner
483029,s w o c   pie cookies,dessert
422277,spaghetti squares,dinner
392181,the real  black tie mousse cake by olive garden,dessert
468143,ultimate  dark chocolate oreo truffle,dessert
344503,disgustingly rich  brownies,dessert
362654,tasty s    hidden mickey surprise snack,other
157657,chicken cheddar crepes with  mushrooms,dinner
468652,tasty dish s      not so hot  pumpkin pie steamer for 2,drink
251800,tasty dish s    heffalumps and woozles,other
423369,tasty s    deluxe cinnamon toast,breakfast
374703,tasty s    the power of flower7 salad,other
370567,tasty   approved golden quesadillas,other
100837,hawaiian sunrise           mimosa,drink
365158,4 cheese baked ziti,dinner
484526,baked potato   baked  microwaved or grilled,other
118801,light   berry loaf,breakfast
146093,macaroni   cheese my way,dinner
269443,spicy cheese dip,other
286484,tasty dish s   banana pudding in 2 minutes,dessert
303978,v s kicked up baked beans  slow cooker,other
323492,from stephanie s kitchen,other
283618,0 carb   0 cal gummy worms,dessert
480558,0 point ice cream  only 1 ingredient,dessert
416980,0 point soup  crock pot,other
391705,0 point soup   ww,other
176996,0 fat chunky watermelon salsa,other
249911,007 cocktail,drink
255928,1 2 3 banana split ice cream cake,dessert
236346,1 bowl 1 person mashed potatoes,other
316669,1 cup of coffee pork roast,dinner
190411,1 dish pizza bake,dinner
316221,1 hour cinnamon rolls,breakfast
444002,1 lb abm hawaiian sweet bread,other
